,Town,Super Petrol,Diesel,Kerosene,Price Period
187,Oyugis,182.47,168.07,162.28,June-2023
188,Kakamega,181.93,167.53,161.75,June-2023
189,Unknown,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
190,Unknown,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
191,             ,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
192,                      TOWNS,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
193,Mumias,182.2,167.81,162.02,June-2023
194,Bondo,182.09,167.69,161.91,June-2023
195,Siaya,182.21,167.82,162.03,June-2023
196,Kericho,182.38,167.99,162.21,June-2023
197,Nyamira,182.44,168.06,162.27,June-2023
198,Kisii,182.76,168.36,162.58,June-2023
199,Sotik,182.58,168.19,162.41,June-2023
200,Keroka,182.77,168.37,162.59,June-2023
201,Busia,182.75,168.35,162.57,June-2023
202,Homabay,182.69,168.3,162.52,June-2023
203,Migori,183.55,169.15,163.37,June-2023
204,Isebania,183.83,169.44,163.65,June-2023
205,Bomet,182.99,168.6,162.81,June-2023
206,Muhoroni,182.11,167.71,161.93,June-2023
207,Mbita,182.68,168.29,162.51,June-2023
208,Mbale,181.87,167.49,161.7,June-2023
209,Etago,183.33,168.93,163.16,June-2023
210,Magenche,183.43,169.04,163.25,June-2023
211,Kilgoris,183.26,168.87,163.09,June-2023
212,Malava,182.24,167.84,162.06,June-2023
213,Lugari,182.63,168.23,162.45,June-2023
214,Rodi Kopany,182.76,168.36,162.58,June-2023
215,Ndhiwa,183.03,168.63,162.85,June-2023
216,Rangwe,182.75,168.35,162.57,June-2023
217,Sindo,182.76,168.36,162.58,June-2023
218,Awasi,181.84,167.44,161.67,June-2023
219,Ahero,181.87,167.49,161.7,June-2023
220,Ugunja,182.3,167.91,162.13,June-2023
221,Asembo,181.96,167.56,161.78,June-2023
222,Usenge,182.43,168.04,162.26,June-2023
223,Harambee,181.92,167.52,161.74,June-2023
224,Muhuru Bay,183.69,169.3,163.51,June-2023
225,Kehancha,183.92,169.53,163.75,June-2023
226,Ntimaru,184.23,169.84,164.05,June-2023
227,Unknown,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
228,Unknown,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
229,             ,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
230,                      TOWNS,183.62560538116594,169.11130044843043,163.32372197309414,June-2023
231,Rongo,183.01,168.61,162.83,June-2023
232,Kaspokwony,182.96,168.57,162.79,June-2023
233,Chwele,182.91,168.52,162.73,June-2023
234,Kimilili,182.83,168.44,162.66,June-2023
235,Nambale,182.75,168.35,162.57,June-2023
236,SioPort,182.74,168.34,162.56,June-2023
237,Port Bunyala,182.78,168.39,162.61,June-2023
238,Funyula,182.61,168.21,162.43,June-2023
239,Ogembo,182.91,168.52,162.73,June-2023
240,Nyangusu,183.17,168.78,162.99,June-2023
241,Sengera,183.09,168.7,162.92,June-2023
242,Keumbu,182.82,168.43,162.65,June-2023
243,Marani,182.52,168.13,162.35,June-2023
244,Kerina,182.89,168.49,162.71,June-2023
245,Ikonge,182.24,167.84,162.06,June-2023
246,Nyansiongo,182.64,168.25,162.46,June-2023
0,Mombasa,192.48,176.63,170.4,July1-July14 2023
1,Kilifi,193.24,177.4,171.17,July1-July14 2023
2,Likoni Mainland,192.86,177.02,170.79,July1-July14 2023
3,Kwale,192.86,177.02,170.79,July1-July14 2023
4,Malindi,193.47,177.62,171.39,July1-July14 2023
5,Lungalunga,193.63,177.78,171.55,July1-July14 2023
6,Voi,194.07,178.21,171.99,July1-July14 2023
7,Taveta,195.58,179.73,173.5,July1-July14 2023
8,Lamu,196.03,180.17,173.95,July1-July14 2023
9,Hola,196.33,180.48,174.26,July1-July14 2023
10,Mpeketoni,196.03,180.17,173.95,July1-July14 2023
11,Minjila,194.91,179.07,172.84,July1-July14 2023
12,Garsen,195.01,179.16,172.93,July1-July14 2023
13,Samburu,192.8,176.95,170.73,July1-July14 2023
14,Taru,193.0,177.14,170.93,July1-July14 2023
15,Mwatate,194.43,178.58,172.35,July1-July14 2023
16,Wundanji,194.6,178.76,172.54,July1-July14 2023
17,Kaloleni,192.65,176.8,170.58,July1-July14 2023
18,Marereni,194.17,178.33,172.1,July1-July14 2023
19,Nairobi,195.53,179.67,173.44,July1-July14 2023
20,Thika,195.53,179.67,173.44,July1-July14 2023
21,Machakos,195.78,179.92,173.69,July1-July14 2023
22,Kajiado,195.97,180.11,173.88,July1-July14 2023
23,Makuyu,195.83,179.97,173.75,July1-July14 2023
24,Muranga,196.09,180.23,174.0,July1-July14 2023
25,Sagana,196.32,180.46,174.23,July1-July14 2023
26,Embu,196.71,180.86,174.63,July1-July14 2023
27,Kerugoya,196.63,180.76,174.53,July1-July14 2023
28,Narok,197.01,181.16,174.93,July1-July14 2023
29,Nyeri,197.0,181.15,174.92,July1-July14 2023
30,Namanga,197.19,181.32,175.09,July1-July14 2023
31,Kiganjo,196.96,181.1,174.87,July1-July14 2023
32,Chuka,197.28,181.42,175.19,July1-July14 2023
33,Kitui,197.17,181.31,175.08,July1-July14 2023
34,Mwingi,197.58,181.73,175.5,July1-July14 2023
35,Nanyuki,197.6,181.74,175.51,July1-July14 2023
36,Nkubu,198.64,182.78,176.55,July1-July14 2023
37,Mtito Andei,198.14,182.28,176.05,July1-July14 2023
38,Meru,198.85,182.99,176.76,July1-July14 2023
39,Isiolo,198.7,182.84,176.61,July1-July14 2023
40,Maua,199.33,183.48,177.25,July1-July14 2023
41,Garissa,200.01,184.14,177.91,July1-July14 2023
42,Marsabit,203.96,188.11,181.88,July1-July14 2023
43,Liboi,202.98,187.12,180.89,July1-July14 2023
44,Moyale,205.66,189.8,183.57,July1-July14 2023
45,Sololo,204.65,188.78,182.55,July1-July14 2023
46,Habaswein,202.9,187.04,180.81,July1-July14 2023
47,Dadaab,201.49,185.63,179.4,July1-July14 2023
48,Tarbaj,205.31,189.45,183.22,July1-July14 2023
49,Elwak,207.04,191.17,184.94,July1-July14 2023
50,Wajir,205.47,189.61,183.38,July1-July14 2023
51,Modogashe,203.05,187.19,180.96,July1-July14 2023
52,Mandera,209.53,193.67,187.44,July1-July14 2023
53,Matuu,196.49,180.62,174.41,July1-July14 2023
54,Merti,201.27,185.4,179.17,July1-July14 2023
55,Oldonyiro,198.06,182.2,175.97,July1-July14 2023
56,Eldas,207.38,191.52,185.29,July1-July14 2023
57,Bute,204.2,188.34,182.11,July1-July14 2023
58,Hadado,202.69,186.83,180.6,July1-July14 2023
59,Mai Mahiu,195.66,179.8,173.57,July1-July14 2023
60,Doldo,198.42,182.56,176.33,July1-July14 2023
61,Lamuria,197.48,181.62,175.39,July1-July14 2023
62,Sipili,198.41,182.55,176.32,July1-July14 2023
63,Marimanti,198.0,182.14,175.91,July1-July14 2023
64,Mutuobare,197.29,181.44,175.21,July1-July14 2023
65,North Horr,204.99,189.13,182.9,July1-July14 2023
66,Maikona,203.5,187.64,181.41,July1-July14 2023
67,Kalacha,204.09,188.23,182.0,July1-July14 2023
68,Loyangalani,204.16,188.3,182.07,July1-July14 2023
69,Turbi,203.95,188.09,181.86,July1-July14 2023
70,Laisamis,200.95,185.09,178.86,July1-July14 2023
71,Merille,200.63,184.77,178.54,July1-July14 2023
72,Korr,201.96,186.1,179.87,July1-July14 2023
73,Nakuru,194.6,179.14,172.93,July1-July14 2023
74,Gilgil,194.56,179.09,172.89,July1-July14 2023
75,Mogotio,194.54,179.08,172.87,July1-July14 2023
76,Molo,194.64,179.17,172.97,July1-July14 2023
77,Olenguruone,195.39,179.93,173.72,July1-July14 2023
78,Londiani,194.88,179.42,173.2,July1-July14 2023
79,Nyahururu,194.86,179.41,173.19,July1-July14 2023
80,Archers Post,198.07,182.61,176.4,July1-July14 2023
81,Lodosoit,199.25,183.79,177.58,July1-July14 2023
82,Naivasha,194.95,179.49,173.28,July1-July14 2023
83,Marigat,195.38,179.92,173.71,July1-July14 2023
84,Kabarnet ,195.9,180.45,174.23,July1-July14 2023
85,Maralal,197.07,181.61,175.4,July1-July14 2023
86,Wamba,197.98,182.51,176.31,July1-July14 2023
87,Rumuruti,195.45,179.99,173.78,July1-July14 2023
88,Eldoret,195.36,179.89,173.69,July1-July14 2023
89,Kiplombe,195.36,179.89,173.69,July1-July14 2023
90,Iten,195.36,179.89,173.69,July1-July14 2023
91,Naiberi,195.36,179.89,173.69,July1-July14 2023
92,Kesses,195.36,179.89,173.69,July1-July14 2023
93,Kapsabet,195.37,179.91,173.7,July1-July14 2023
94,Webuye,195.81,180.36,174.14,July1-July14 2023
95,Kitale,195.74,180.29,174.07,July1-July14 2023
96,Kapenguria ,196.42,180.96,174.75,July1-July14 2023
97,Bungoma,196.18,180.72,174.5,July1-July14 2023
98,Moiben,195.37,179.91,173.7,July1-July14 2023
99,Matunda,195.34,179.88,173.67,July1-July14 2023
100,Burnt Forest,195.3,179.84,173.63,July1-July14 2023
101,Tambach,195.39,179.94,173.72,July1-July14 2023
102,Kapsowar,195.9,180.44,174.23,July1-July14 2023
103,Chebara,195.77,180.31,174.1,July1-July14 2023
104,Kimwarer,195.69,180.23,174.02,July1-July14 2023
105,Timboroa,195.6,180.15,173.93,July1-July14 2023
106,Nandi Hills,195.56,180.1,173.9,July1-July14 2023
107,Kaiboi,195.41,179.95,173.74,July1-July14 2023
108,Kiminini,195.94,180.48,174.27,July1-July14 2023
109,Endebes,196.32,180.86,174.64,July1-July14 2023
110,Saboti,195.97,180.51,174.3,July1-July14 2023
111,Chepareria,196.64,181.19,174.97,July1-July14 2023
112,Lomut,198.38,182.92,176.71,July1-July14 2023
113,Burgich,197.09,181.63,175.43,July1-July14 2023
114,Sigor,197.23,181.77,175.57,July1-July14 2023
115,Lodwar,199.84,184.38,178.18,July1-July14 2023
116,Kakuma,201.55,186.09,179.88,July1-July14 2023
117,Lokichar,198.77,183.31,177.1,July1-July14 2023
118,Kalokol,200.66,185.21,178.99,July1-July14 2023
119,Lokori,199.16,183.7,177.49,July1-July14 2023
120,Lokitaung,203.75,188.3,182.09,July1-July14 2023
121,Kapedo,198.38,182.92,176.71,July1-July14 2023
122,Malaba,196.61,181.15,174.94,July1-July14 2023
123,Lokichogio,202.83,187.36,181.16,July1-July14 2023
124,Ziwa,195.56,180.1,173.9,July1-July14 2023
125,Soy,195.36,179.89,173.69,July1-July14 2023
126,Moi's Bridge,195.43,179.96,173.76,July1-July14 2023
127,Turbo,195.3,179.84,173.63,July1-July14 2023
128,Kibish,204.01,188.55,182.34,July1-July14 2023
129,Nakalale,202.74,187.28,181.08,July1-July14 2023
130,Loima,198.89,183.44,177.23,July1-July14 2023
131,Lokiriama,200.58,185.11,178.91,July1-July14 2023
132,Kainuk,197.57,182.12,175.9,July1-July14 2023
133,Kacheliba,196.85,181.4,175.18,July1-July14 2023
134,Kiwawa,197.51,182.05,175.83,July1-July14 2023
135,Ortum,197.06,181.61,175.39,July1-July14 2023
136,Kachibora,195.77,180.31,174.1,July1-July14 2023
137,Kwanza,196.54,181.08,174.87,July1-July14 2023
138,Kaplamai,195.8,180.34,174.13,July1-July14 2023
139,Eldama Ravine,196.25,180.79,174.57,July1-July14 2023
140,Tenges,196.4,180.94,174.73,July1-July14 2023
141,Barwessa,196.52,181.06,174.85,July1-July14 2023
142,Kipsaraman,197.49,182.04,175.82,July1-July14 2023
143,Loruk,197.35,181.9,175.68,July1-July14 2023
144,Kabartonjo,196.25,180.79,174.57,July1-July14 2023
145,Tindiret,196.32,180.86,174.64,July1-July14 2023
146,O'lessos,195.43,179.96,173.76,July1-July14 2023
147,Kobujoi,195.85,180.39,174.19,July1-July14 2023
148,Serem,195.94,180.48,174.27,July1-July14 2023
149,Kabiyet,195.36,179.89,173.69,July1-July14 2023
150,Cheptulu,195.81,180.36,174.14,July1-July14 2023
151,Songor,196.4,180.94,174.73,July1-July14 2023
152,Kapcherop,196.01,180.55,174.34,July1-July14 2023
153,Sambalat,196.75,181.28,175.08,July1-July14 2023
154,Arror,196.37,180.91,174.7,July1-July14 2023
155,Tot,196.59,181.13,174.92,July1-July14 2023
156,Kaptarakwa,195.56,180.1,173.9,July1-July14 2023
157,Kapese,198.73,183.27,177.06,July1-July14 2023
158,Kalemngorok,198.08,182.62,176.41,July1-July14 2023
159,Marich,196.98,181.52,175.31,July1-July14 2023
160,Alale,197.51,182.05,175.83,July1-July14 2023
161,Kunyao,197.14,181.69,175.47,July1-July14 2023
162,Asilong,196.7,181.24,175.03,July1-July14 2023
163,Orolwo,196.75,181.28,175.08,July1-July14 2023
164,Sebit,196.69,181.23,175.02,July1-July14 2023
165,Morpus,196.59,181.13,174.92,July1-July14 2023
166,Chepkorniswo,196.47,181.01,174.8,July1-July14 2023
167,Kaibichbich,196.41,180.95,174.74,July1-July14 2023
168,Keringet,196.12,180.66,174.45,July1-July14 2023
169,Kisumu,195.34,179.89,173.68,July1-July14 2023
170,Sondu,195.46,180.0,173.79,July1-July14 2023
171,Oyugis,195.98,180.52,174.3,July1-July14 2023
172,Kakamega,195.4,179.94,173.73,July1-July14 2023
173,Mumias,195.69,180.24,174.02,July1-July14 2023
174,Bondo,195.58,180.11,173.91,July1-July14 2023
175,Siaya,195.7,180.25,174.04,July1-July14 2023
176,Kericho,195.89,180.44,174.22,July1-July14 2023
177,Nyamira,195.96,180.51,174.29,July1-July14 2023
178,Kisii,196.3,180.83,174.63,July1-July14 2023
179,Sotik,196.11,180.65,174.44,July1-July14 2023
180,Keroka,196.31,180.84,174.64,July1-July14 2023
181,Busia,196.28,180.82,174.61,July1-July14 2023
182,Homabay,196.23,180.76,174.56,July1-July14 2023
183,Migori,197.14,181.68,175.47,July1-July14 2023
184,Isebania,197.44,181.99,175.78,July1-July14 2023
185,Bomet,196.55,181.09,174.87,July1-July14 2023
186,Muhoroni,195.6,180.14,173.93,July1-July14 2023
187,Mbita,196.21,180.75,174.54,July1-July14 2023
188,Mbale,195.34,179.89,173.68,July1-July14 2023
189,Etago,196.91,181.45,175.24,July1-July14 2023
190,Magenche,197.01,181.56,175.35,July1-July14 2023
191,Kilgoris,196.84,181.38,175.17,July1-July14 2023
192,Malava,195.74,180.28,174.07,July1-July14 2023
193,Lugari,196.16,180.69,174.49,July1-July14 2023
194,Rodi Kopany,196.3,180.83,174.63,July1-July14 2023
195,Ndhiwa,196.59,181.12,174.92,July1-July14 2023
196,Rangwe,196.28,180.82,174.61,July1-July14 2023
197,Sindo,196.3,180.83,174.63,July1-July14 2023
198,Awasi,195.31,179.85,173.64,July1-July14 2023
199,Ahero,195.34,179.89,173.68,July1-July14 2023
200,Ugunja,195.81,180.35,174.14,July1-July14 2023
201,Asembo,195.44,179.97,173.77,July1-July14 2023
202,Usenge,195.95,180.48,174.28,July1-July14 2023
203,Harambee,195.39,179.93,173.72,July1-July14 2023
204,Muhuru Bay,197.29,181.84,175.62,July1-July14 2023
205,Kehancha,197.55,182.09,175.88,July1-July14 2023
206,Ntimaru,197.87,182.42,176.2,July1-July14 2023
207,Rongo,196.56,181.1,174.89,July1-July14 2023
208,Kaspokwony,196.52,181.05,174.85,July1-July14 2023
209,Chwele,196.46,181.01,174.79,July1-July14 2023
210,Kimilili,196.38,180.91,174.71,July1-July14 2023
211,Nambale,196.28,180.82,174.61,July1-July14 2023
212,SioPort,196.27,180.81,174.6,July1-July14 2023
213,Port Bunyala,196.32,180.87,174.65,July1-July14 2023
214,Funyula,196.13,180.67,174.46,July1-July14 2023
215,Ogembo,196.46,181.01,174.79,July1-July14 2023
216,Nyangusu,196.74,181.28,175.07,July1-July14 2023
217,Sengera,196.65,181.19,174.99,July1-July14 2023
218,Keumbu,196.36,180.9,174.7,July1-July14 2023
219,Marani,196.04,180.59,174.37,July1-July14 2023
220,Kerina,196.43,180.97,174.77,July1-July14 2023
221,Ikonge,195.74,180.28,174.07,July1-July14 2023
222,Nyansiongo,196.17,180.72,174.5,July1-July14 2023
0,Mombasa,191.62363663934664,176.62809465783778,166.43257515391258,July-2023
1,Kilifi,192.39355846527945,177.3980164837706,167.1924969798454,July-2023
2,Likoni Mainland,192.0036366393466,177.01809465783776,166.81257515391255,July-2023
3,Kwale,192.0036366393466,177.01809465783776,166.81257515391255,July-2023
4,Malindi,192.61516066591076,177.6196186844019,167.4140991804767,July-2023
5,Lungalunga,192.77355846527945,177.77801648377059,167.57249697984537,July-2023
6,Voi,193.2100915801074,178.21454959859852,168.00903009467334,July-2023
7,Taveta,194.72538157190814,179.72983959039928,169.5243200864741,July-2023
8,Lamu,195.16858597317076,180.1730439916619,169.9675244877367,July-2023
9,Hola,195.47203899903883,180.47649701752994,170.28097751360477,July-2023
10,Mpeketoni,195.16858597317076,180.1730439916619,169.9675244877367,July-2023
11,Minjila,194.06057497001424,179.06503298850535,168.85951348458016,July-2023
12,Garsen,194.15440093279045,179.1588589512816,168.9533394473564,July-2023
13,Samburu,191.95035406401684,176.95481208250797,166.74929257858278,July-2023
14,Taru,192.13800598956925,177.1424640080604,166.9469445041352,July-2023
15,Mwatate,193.57144515613325,178.5759031746244,168.3703836706992,July-2023
16,Wundanji,193.7471219441462,178.7615799626373,168.55606045871212,July-2023
17,Kaloleni,191.7886275510828,176.80308556957397,166.59756606564875,July-2023
18,Marereni,193.31589268042305,178.33035069891417,168.12483119498899,July-2023
19,Nairobi,194.68197352979774,179.6673895038655,169.48307232165826,July-2023
20,Thika,194.68326279106046,179.6686787651282,169.48436158292097,July-2023
21,Machakos,194.9388152667707,179.92423124083842,169.72991405863118,July-2023
22,Kajiado,195.12646719232308,180.1118831663908,169.9275659841836,July-2023
23,Makuyu,194.9967158169285,179.97213179099623,169.787814608789,July-2023
24,Muranga,195.24226829263873,180.2276842667065,170.03336708449922,July-2023
25,Sagana,195.4758456308095,180.46126160487722,170.27694442267,July-2023
26,Embu,195.87114948191427,180.85656545598198,170.66224827377476,July-2023
27,Kerugoya,195.77929865667753,180.7647146307453,170.58039744853804,July-2023
28,Narok,196.1746025077823,181.16001848185005,170.96570129964283,July-2023
29,Nyeri,196.16262737024286,181.14804334431062,170.95372616210335,July-2023
30,Namanga,196.33830415825577,181.3237201323235,171.1294029501163,July-2023
31,Kiganjo,196.11670195762449,181.10211793169222,170.90780074948498,July-2023
32,Chuka,196.432130121032,181.41754609509977,171.2332289128925,July-2023
33,Kitui,196.32632902071634,181.31174499478408,171.11742781257684,July-2023
34,Mwingi,196.74558314690006,181.7309991209678,171.53668193876052,July-2023
35,Nanyuki,196.75755828443948,181.74297425850722,171.5486570763,July-2023
36,Nkubu,197.79569359989873,182.78110957396646,172.59679239175924,July-2023
37,Mtito Andei,197.2945886484783,182.28000462254602,172.09568744033882,July-2023
38,Meru,198.00532066299058,182.99073663705832,172.7964194548511,July-2023
39,Isiolo,197.85359415005655,182.83901012412431,172.64469294191707,July-2023
40,Maua,198.49445047687155,183.4798664509393,173.28554926873207,July-2023
41,Garissa,199.15925707876548,184.1446730528332,173.950355870626,July-2023
42,Marsabit,203.1221712775106,188.1075872515783,177.9132700693711,July-2023
43,Liboi,202.13193651220917,187.1173524862769,176.92303530406969,July-2023
44,Moyale,204.81313805732427,189.79855403139203,179.6042368491848,July-2023
45,Sololo,203.79895301694393,188.7843689910117,178.59005180880445,July-2023
46,Habaswein,202.05008568697244,187.0355016610402,176.84118447883293,July-2023
47,Dadaab,200.65059679548733,185.62601276955505,175.44169558734782,July-2023
48,Tarbaj,204.46375961883786,189.4491755929056,179.26485841069837,July-2023
49,Elwak,206.18867667373047,191.1740926477982,180.979775465591,July-2023
50,Wajir,204.63746126931133,189.61287724337907,179.42856006117185,July-2023
51,Modogashe,202.20181219990644,187.18722817397418,176.99291099176696,July-2023
52,Mandera,208.68420143083264,193.66961740490038,183.48530022269316,July-2023
53,Matuu,195.64954728128296,180.6249632553507,170.44064607314345,July-2023
54,Merti,200.41899459485603,185.40441056892377,175.22009338671654,July-2023
55,Oldonyiro,197.21273782324155,182.19815379730932,172.01383661510206,July-2023
56,Eldas,206.53805511221688,191.52347108628464,181.3291539040774,July-2023
57,Bute,203.35574861568136,188.34116458974907,178.14684740754186,July-2023
58,Hadado,201.84045862388058,186.82587459794834,176.6315574157411,July-2023
59,Mai Mahiu,194.8110390289156,179.79645500298335,169.60213782077608,July-2023
60,Doldo,197.57409139926742,182.55950737333518,172.37519019112793,July-2023
61,Lamuria,196.62978204658438,181.61519802065214,171.42088083844487,July-2023
62,Sipili,197.56211626172797,182.5475322357957,172.35321505358849,July-2023
63,Marimanti,197.15483727308373,182.14025324715146,171.95593606494424,July-2023
64,Mutuobare,196.45410525857145,181.43952123263918,171.24520405043197,July-2023
65,North Horr,204.14833145543037,189.13374742949813,178.9394302472909,July-2023
66,Maikona,202.6569917387085,187.64240771277628,177.45809053056902,July-2023
67,Kalacha,203.23994751536569,188.22536348943342,178.0410463072262,July-2023
68,Loyangalani,203.30982320306296,188.2952391771307,178.11092199492347,July-2023
69,Turbi,203.1001961399711,188.08561211403884,177.90129493183161,July-2023
70,Laisamis,200.1035664314485,185.08898240551625,174.89466522330903,July-2023
71,Merille,199.78813826804102,184.7735542421088,174.57923705990152,July-2023
72,Korr,201.11775147182885,186.1031674458966,175.90885026368935,July-2023
73,Nakuru,193.76810138728231,179.13891269674076,168.98670822192074,July-2023
74,Gilgil,193.7222677221727,179.09307903163113,168.94087455681114,July-2023
75,Mogotio,193.7114900983872,179.08230140784562,168.93009693302562,July-2023
76,Molo,193.8029210336555,179.17373234311395,169.02152786829393,July-2023
77,Olenguruone,194.56197348829406,179.93278479775248,169.78058032293245,July-2023
78,Londiani,194.0376958855802,179.41850719503864,169.26630272021862,July-2023
79,Nyahururu,194.02691826179466,179.40772957125313,169.2455250964331,July-2023
80,Archers Post,197.2431750334092,182.6139863428676,172.46178186804758,July-2023
81,Lodosoit,198.42106172426298,183.7918730337214,173.63966855890138,July-2023
82,Naivasha,194.10876908703145,179.48958039648988,169.3373759216699,July-2023
83,Marigat,194.53999835075456,179.92080966021302,169.76860518539303,July-2023
84,Kabarnet ,195.07505357725395,180.4458648867124,170.29366041189238,July-2023
85,Maralal,196.24096513056827,181.61177644002674,171.45957196520672,July-2023
86,Wamba,197.13934907063293,182.5101603800914,172.35795590527138,July-2023
87,Rumuruti,194.6110715522058,179.99188286166424,169.83967838684424,July-2023
88,Eldoret,194.5264013872823,179.89103269674075,169.74500822192073,July-2023
89,Kiplombe,194.5264013872823,179.89103269674075,169.74500822192073,July-2023
90,Iten,194.5264013872823,179.89103269674075,169.74500822192073,July-2023
91,Naiberi,194.5264013872823,179.89103269674075,169.74500822192073,July-2023
92,Kesses,194.5264013872823,179.89103269674075,169.74500822192073,July-2023
93,Kapsabet,194.53966578608447,179.9142970955429,169.76827262072288,July-2023
94,Webuye,194.9828701873471,180.35750149680553,170.2114770219855,July-2023
95,Kitale,194.9229944996498,180.28762580910825,170.14160133428823,July-2023
96,Kapenguria ,195.59977623908318,180.96440754854163,170.8183830737216,July-2023
97,Bungoma,195.34422376337298,180.71885507283145,170.5728305980114,July-2023
98,Moiben,194.53966578608447,179.9142970955429,169.76827262072288,July-2023
99,Matunda,194.51571551100557,179.880346820464,169.734322345644,July-2023
100,Burnt Forest,194.4697900983872,179.84442140784563,169.6983969330256,July-2023
101,Tambach,194.57361606116342,179.93824737062187,169.79222289580184,July-2023
102,Kapsowar,195.07472101258384,180.43935232204228,170.29332784722226,July-2023
103,Chebara,194.9469447747287,180.31157608418715,170.16555160936713,July-2023
104,Kimwarer,194.86509394949198,180.22972525895045,170.0837007841304,July-2023
105,Timboroa,194.78324312425525,180.14787443371367,170.00184995889364,July-2023
106,Nandi Hills,194.73731771163688,180.10194902109535,169.9559245462753,July-2023
107,Kaiboi,194.58559119870287,179.9502225081613,169.80419803334127,July-2023
108,Kiminini,195.11064642520222,180.47527773466066,170.32925325984064,July-2023
109,Endebes,195.48397513876753,180.85860644822594,170.71258197340595,July-2023
110,Saboti,195.1445967002811,180.5092280097396,170.36320353491953,July-2023
111,Chepareria,195.8213784397145,181.18600974917297,171.03998527435292,July-2023
112,Lomut,197.55827063214656,182.92290194160498,172.77687746678498,July-2023
113,Burgich,196.26458284097708,181.62921415043553,171.4831896756155,July-2023
114,Sigor,196.40433421637167,181.76896552583008,171.62294105101006,July-2023
115,Lodwar,199.0156600737895,184.38029138324794,174.2342669084279,July-2023
116,Kakuma,200.72860199114265,186.09323330060113,175.94720882578108,July-2023
117,Lokichar,197.94357448325135,183.3082057927098,173.17218131788974,July-2023
118,Kalokol,199.83219318861742,185.2068244980759,175.06080002325584,July-2023
119,Lokori,198.33887833435614,183.70350964381456,173.55748516899453,July-2023
120,Lokitaung,202.93264885991624,188.29728016937466,178.15125569455464,July-2023
121,Kapedo,197.55827063214656,182.92290194160498,172.77687746678498,July-2023
122,Malaba,195.77545302709612,181.15008433655458,171.00405986173453,July-2023
123,Lokichogio,202.00031464477263,187.3649459542311,177.21892147941105,July-2023
124,Ziwa,194.73731771163688,180.10194902109535,169.9559245462753,July-2023
125,Soy,194.52769064854505,179.8923219580035,169.74629748318344,July-2023
126,Moi's Bridge,194.59756633624232,179.96219764570077,169.81617317088075,July-2023
127,Turbo,194.4697900983872,179.84442140784563,169.6983969330256,July-2023
128,Kibish,203.18820133562645,188.5528326450849,178.40680817026487,July-2023
129,Nakalale,201.9184638195359,187.28309512899432,177.13707065417432,July-2023
130,Loima,198.07135072110646,183.4359820305649,173.28995755574488,July-2023
131,Lokiriama,199.7503423633807,185.1149736728391,174.9689491980191,July-2023
132,Kainuk,196.75371265485808,182.11834396431652,171.9723194894965,July-2023
133,Kacheliba,196.03100550280632,181.39563681226477,171.24961233744474,July-2023
134,Kiwawa,196.6838369671608,182.04846827661925,171.90244380179922,July-2023
135,Ortum,196.24063256589818,181.60526387535663,171.4592394005366,July-2023
136,Kachibora,194.9469447747287,180.31157608418715,170.16555160936713,July-2023
137,Kwanza,195.70557733939884,181.08020864885728,170.93418417403723,July-2023
138,Kaplamai,194.97089504980767,180.3355263592661,170.19950188444605,July-2023
139,Eldama Ravine,195.41409945107023,180.78873076052867,170.64270628570864,July-2023
140,Tenges,195.57582596400425,180.94045727346273,170.79443279864267,July-2023
141,Barwessa,195.6936022018594,181.0582335113178,170.91220903649779,July-2023
142,Kipsaraman,196.67186182962135,182.03649313907982,171.89046866425977,July-2023
143,Loruk,196.53211045422677,181.89674176368524,171.7507172888652,July-2023
144,Kabartonjo,195.41409945107023,180.78873076052867,170.64270628570864,July-2023
145,Tindiret,195.48397513876753,180.85860644822594,170.71258197340595,July-2023
146,O'lessos,194.59756633624232,179.96219764570077,169.81617317088075,July-2023
147,Kobujoi,195.02879559996546,180.3934269094239,170.24740243460386,July-2023
148,Serem,195.11064642520222,180.47527773466066,170.32925325984064,July-2023
149,Kabiyet,194.52769064854505,179.8923219580035,169.74629748318344,July-2023
150,Cheptulu,194.9828701873471,180.35750149680553,170.2114770219855,July-2023
151,Songor,195.57582596400425,180.94045727346273,170.79443279864267,July-2023
152,Kapcherop,195.1805221128995,180.5451534223579,170.3991289475379,July-2023
153,Sambalat,195.9152044024907,181.27983571194915,171.1438112371291,July-2023
154,Arror,195.54187568892536,180.9065069983838,170.76048252356378,July-2023
155,Tot,195.76347788955667,181.12810919901509,170.9820847241951,July-2023
156,Kaptarakwa,194.73731771163688,180.10194902109535,169.9559245462753,July-2023
157,Kapese,197.90764907063297,183.27228038009142,173.12625590527136,July-2023
158,Kalemngorok,197.25481760627852,182.61944891573694,172.47342444091692,July-2023
159,Marich,196.15878174066145,181.5234130501199,171.37738857529985,July-2023
160,Alale,196.6838369671608,182.04846827661925,171.90244380179922,July-2023
161,Kunyao,196.32248339113494,181.68711470059338,171.54109022577333,July-2023
162,Asilong,195.87927898987232,181.24391029933076,171.0978858245107,July-2023
